127.0.0.1 - - [06/Nov/2021:12:20:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:33 +0900] "GET /MyWebSite/index.jsp HTTP/1.1" 200 10531
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/js/index.js HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/member.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/larrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/rarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/hongkong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/brazil.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:34 +0900] "GET /MyWebSite/img/osaka.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:35 +0900] "GET /MyWebSite/img/hawaii.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:35 +0900] "GET /MyWebSite/img/triple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:20:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
