127.0.0.1 - - [08/Dec/2021:21:01:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:00 +0900] "GET /MyWebSite/index.jsp HTTP/1.1" 200 7677
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/member.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/larrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/rarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/c4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/c3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/osaka.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/hongkong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:02 +0900] "GET /MyWebSite/img/brazil.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:03 +0900] "GET /MyWebSite/img/hawaii.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:03 +0900] "GET /MyWebSite/img/triple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:21 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=loginForm.jsp HTTP/1.1" 200 6178
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:21 +0900] "GET /MyWebSite/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:21 +0900] "GET /MyWebSite/img/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:22 +0900] "GET /MyWebSite/img/pw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:22 +0900] "GET /MyWebSite/img/id.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:27 +0900] "GET /MyWebSite/module/loginProcess.jsp?member_id=admin&member_pwd=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:27 +0900] "GET /MyWebSite/management/manager_control.jsp?action=list HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:27 +0900] "GET /MyWebSite/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:38 +0900] "GET /MyWebSite/management/manager_control.jsp?action=edit&member_id=kong&upwd=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:38 +0900] "GET /MyWebSite/management/manager_edit_form.jsp HTTP/1.1" 200 5672
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:43 +0900] "GET /MyWebSite/management/manager_control.jsp?action=list HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:44 +0900] "GET /MyWebSite/management/manager_form.jsp HTTP/1.1" 200 5353
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:46 +0900] "GET /MyWebSite/management/manager_control.jsp?action=list HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:47 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=alist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:47 +0900] "GET /MyWebSite/reservation/reservation_list.jsp HTTP/1.1" 200 5787
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:50 +0900] "GET /MyWebSite/management/manager_list.jsp HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:54 +0900] "GET /MyWebSite/cart/cart_control.jsp?action=aSearch HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:21:02:54 +0900] "GET /MyWebSite/product/product_list.jsp HTTP/1.1" 200 7393
