127.0.0.1 - - [16/Jan/2022:21:04:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/index.jsp HTTP/1.1" 200 11807
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/css/index.css HTTP/1.1" 200 6866
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/logo.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/loginJoin.png HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/c2.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/loginPassword.png HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/loginMember.png HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/loginCustomer.png HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/c4.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/c3.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/c1.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/larrow.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/rarrow.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie1.jpg HTTP/1.1" 200 243960
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie2.jpg HTTP/1.1" 200 127540
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/eggGoldenegggreat.png HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie4.jpg HTTP/1.1" 200 233275
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie3.jpg HTTP/1.1" 200 107646
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/eggGoldeneggPreegg.png HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie5.jpg HTTP/1.1" 200 97961
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/eggGoldenegg.png HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie7.jpg HTTP/1.1" 200 147899
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie8.jpg HTTP/1.1" 200 74773
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie9.jpg HTTP/1.1" 200 100267
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie6.jpg HTTP/1.1" 200 97515
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie10.jpg HTTP/1.1" 200 78604
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie11.jpg HTTP/1.1" 200 107714
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie12.jpg HTTP/1.1" 200 42378
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie13.jpg HTTP/1.1" 200 189676
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie14.jpg HTTP/1.1" 200 106813
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie15.jpg HTTP/1.1" 200 111716
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie16.jpg HTTP/1.1" 200 146702
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie17.jpg HTTP/1.1" 200 91556
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie18.jpg HTTP/1.1" 200 160666
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/triple.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:21 +0900] "GET /MovieProject/img/movie19.jpg HTTP/1.1" 200 131004
0:0:0:0:0:0:0:1 - - [16/Jan/2022:21:04:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
